Machine Number*,Machine Name*,Department Name*,Machine Capacity,Asset Code*,Group*,Location*,Relocated Date,Purchased Date,Machine Make,Machine Remarks,Machine Cost,Image Name,Critical,Day Working Hour,Vendor,AMC Vendor,Renewal Date,From Date,To Date,Frequency,Frequency Date
226,WELDING MACHINE - 32,TLTRS (RAILWAY),,22505873,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
227,WELDING MACHINE - 33,TLTRS (RAILWAY),,22505903,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
228,WELDING MACHINE - 34,TLTRS (RAILWAY),,22505911,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
229,WELDING MACHINE - 35,TLTRS (RAILWAY),,22505890,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
230,PORTABLE DOUBLE ACTING HYDRAULIC PUNCHIN,TLTRS (RAILWAY),,599A4904,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
231,HOLE AFTER BENDING MACHINE,FABRICATION BAY 2,,59990161,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
232,HYDRAULIC STAMPING MACHINE-110T,FABRICATION BAY 3,,59990125,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
233,HYDRULIC NOTCHING MACHINE - 170 T,FABRICATION BAY 1,,59990176,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
234,AIR COMPRESSOR - 2,GALVANISING 1,,59980090P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
235,AIR COMPRESSOR - 3,GALVANISING 1,,59980090Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
236,ACID SCRUBBING TOWER,GALVANISING 1,,59980130P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
237,WHITE FUMES ENCLOSURE,GALVANISING 1,,59980160P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
238,FUEL PUMPING & HEATING UNIT,GALVANISING 1,,59980160Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
239,ATOMIZING AIR UNIT,GALVANISING 1,,59980160R,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
240,FLUE GAS BLOWER,GALVANISING 1,,59980160S,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
241,SURPLUS AIR BLOWER,GALVANISING 1,,59980160T,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
242,WHITE FUMES BLOWER,GALVANISING 1,,59980160U,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
243,GEMICO BOARD A,GALVANISING 1,,59980160V,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
244,GEMICO BOARD B,GALVANISING 1,,59980160W,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
245,FURNACE & ZINC BATH,GALVANISING 1,,59980160X,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
246,"DRIER,HOT AIR BLOWER &BURNER",GALVANISING 1,,59980170P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
247,HOT AIR GENERATOR,GALVANISING 1,,59980170Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
248,FLY PUMP,GALVANISING 1,,59980310P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
249,FLUX REGENERATION,GALVANISING 1,,59980310Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
250,CIRCULATION SYSTEM,GALVANISING 1,,59980310R,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
251,SPENT DEGREASING TFR.UNIT,GALVANISING 1,,59980330P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
252,SLUDGE TFR. UNIT,GALVANISING 1,,59980330Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
253,FILTRATE PUMP,GALVANISING 1,,59980330R,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
254,LIME DOSING UNIT,GALVANISING 1,,59980330S,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
255,REACTION AGITATOR,GALVANISING 1,,59980330T,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
256,COMBUSTION AIR BLOWER -1,GALVANISING 1,,59980500P,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
257,COMBUSTION AIR BLOWER -2,GALVANISING 1,,59980500Q,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
258,BATTERY OPERATED TROLLY,GALVANISING 1,,589980974,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
259,ASH SCREENING MACHINE,GALVANISING 1,,66010005,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
260,BATTERY OPERATED TROLLY -4,STORES,,599A3088,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
261,BATERY OPERATED TROLLEY-6,STORES,,599A3649,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
262,Battery Operated Trolley-,GALVANISING 3,,599A4238,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
263,WHITE SMOKE BLOWER -3,GALVANISING 3,,530002U3,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
264,FLXU GENERATION UNIT - 3,GALVANISING 3,,530002B6,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
265,75HP FUME EXTRACTION SYSTEM-3,GALVANISING 3,,530002V1,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
266,75HP FUME EXTRACTION SYSTEM-4,GALVANISING 3,,530002W0,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
267,100HP FUME EXTRACTION SYSTEM - 2,GALVANISING 3,,530002X8,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
268,SCRAP BUNDLING MACHINE,GALVANISING 3,,59990182,SUPPORTING EQUIPMENT ,PI,,,,,,,,,,,,,,,
269,CHAIN CUM JACK CONVEYER,GALVANISING 1,,66010004,CRANES,PI,,,,,,,,,,,,,,,
